Date,Ticker,Bank_Name,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17 00:00:00-05:00,JPM,JPMorgan Chase,1.0390600686530695,1.0620650977308892,1.0390600686530695,1.0428941249847412,62775,0.0,0.0
1980-03-18 00:00:00-05:00,JPM,JPMorgan Chase,1.0428935986602474,1.0582303098809829,1.0428935986602474,1.0505619049072266,64125,0.0,0.0
1980-03-19 00:00:00-05:00,JPM,JPMorgan Chase,1.0582298768984977,1.0697324302893898,1.0582298768984977,1.0658981800079346,40500,0.0,0.0
1980-03-20 00:00:00-05:00,JPM,JPMorgan Chase,1.0658987069860815,1.0658987069860815,1.054396345361919,1.0582304000854492,18900,0.0,0.0
1980-03-21 00:00:00-05:00,JPM,JPMorgan Chase,1.0582300195170977,1.0812349319458008,1.0582300195170977,1.0812349319458008,97200,0.0,0.0
1980-03-24 00:00:00-05:00,JPM,JPMorgan Chase,1.073566938891229,1.073566938891229,1.0543962717056274,1.0543962717056274,90450,0.0,0.0
1980-03-25 00:00:00-05:00,JPM,JPMorgan Chase,1.0543962554842707,1.0582303098809829,1.0467278505105142,1.0505619049072266,72225,0.0,0.0
1980-03-26 00:00:00-05:00,JPM,JPMorgan Chase,1.0505619944580313,1.0658987069860815,1.0428936875573993,1.0582304000854492,31725,0.0,0.0
1980-03-27 00:00:00-05:00,JPM,JPMorgan Chase,1.0543962554842707,1.0543962554842707,1.01988867991931,1.0505619049072266,62100,0.0,0.0
1980-03-28 00:00:00-05:00,JPM,JPMorgan Chase,1.0505621211981513,1.0505621211981513,1.0198888898951952,1.0390597581863403,84375,0.0,0.0
1980-03-31 00:00:00-05:00,JPM,JPMorgan Chase,1.0505615894911389,1.0735666000519282,1.0505615894911389,1.0697325468063354,55350,0.0,0.0
1980-04-01 00:00:00-05:00,JPM,JPMorgan Chase,1.0697329591631832,1.0889037264147634,1.0505619944580313,1.0582304000854492,126225,0.0,0.0
1980-04-02 00:00:00-05:00,JPM,JPMorgan Chase,1.0658980197043637,1.0965713262557983,1.0658980197043637,1.0965713262557983,58725,0.0,0.0
1980-04-03 00:00:00-05:00,JPM,JPMorgan Chase,1.1195764968133104,1.150250008069985,1.1195764968133104,1.1387474536895752,311175,0.0,0.0
1980-04-07 00:00:00-05:00,JPM,JPMorgan Chase,1.1387477622302706,1.1655870301476736,1.13491351058009,1.1464160680770874,115425,0.0,0.0
1980-04-08 00:00:00-05:00,JPM,JPMorgan Chase,1.1387471429546097,1.1387471429546097,1.1272445917129517,1.1272445917129517,218025,0.0,0.0
1980-04-09 00:00:00-05:00,JPM,JPMorgan Chase,1.119576741264963,1.119576741264963,1.088903519491244,1.1119084358215332,181575,0.0,0.0
1980-04-10 00:00:00-05:00,JPM,JPMorgan Chase,1.1119079624193615,1.142581467313934,1.1119079624193615,1.1349129676818848,191700,0.0,0.0
1980-04-11 00:00:00-05:00,JPM,JPMorgan Chase,1.1349129676818848,1.1579181703978578,1.13107891531931,1.1349129676818848,112050,0.0,0.0
1980-04-14 00:00:00-05:00,JPM,JPMorgan Chase,1.1349133698604674,1.1349133698604674,1.1234110112432092,1.1310793161392212,18900,0.0,0.0
1980-04-15 00:00:00-05:00,JPM,JPMorgan Chase,1.1234112622481172,1.1234112622481172,1.1042402982711792,1.1042402982711792,63450,0.0,0.0
1980-04-16 00:00:00-05:00,JPM,JPMorgan Chase,1.111908050123068,1.123410701751709,1.111908050123068,1.123410701751709,30375,0.0,0.0
1980-04-17 00:00:00-05:00,JPM,JPMorgan Chase,1.1157428569119856,1.1157428569119856,1.1004062436932864,1.1042402982711792,43875,0.0,0.0
1980-04-18 00:00:00-05:00,JPM,JPMorgan Chase,1.1042396282119764,1.1157421798729656,1.0965713262557983,1.0965713262557983,27675,0.0,0.0
1980-04-21 00:00:00-05:00,JPM,JPMorgan Chase,1.0927375573671247,1.0927375573671247,1.058229992162567,1.0697325468063354,83700,0.0,0.0
1980-04-22 00:00:00-05:00,JPM,JPMorgan Chase,1.0697329185291062,1.1042402982711792,1.0582303598883,1.1042402982711792,122850,0.0,0.0
1980-04-23 00:00:00-05:00,JPM,JPMorgan Chase,1.1042402982711792,1.1042402982711792,1.0774012251384557,1.1042402982711792,132300,0.0,0.0
1980-04-24 00:00:00-05:00,JPM,JPMorgan Chase,1.1042396282119764,1.1042396282119764,1.08123462361672,1.0965713262557983,209250,0.0,0.0
1980-04-25 00:00:00-05:00,JPM,JPMorgan Chase,1.0927375856136528,1.0927375856136528,1.0774008786011005,1.0812349319458008,21600,0.0,0.0
1980-04-28 00:00:00-04:00,JPM,JPMorgan Chase,1.092737937083937,1.111908604880529,1.092737937083937,1.1042402982711792,141750,0.0,0.0
1980-04-29 00:00:00-04:00,JPM,JPMorgan Chase,1.1042393434698725,1.1119076434486823,1.1004052922071643,1.1080735921859741,45225,0.0,0.0
1980-04-30 00:00:00-04:00,JPM,JPMorgan Chase,1.108074923565727,1.1234116406774926,1.096572361050199,1.1195772886276245,85050,0.0,0.0
1980-05-01 00:00:00-04:00,JPM,JPMorgan Chase,1.123410846151356,1.1464157574586848,1.123410846151356,1.1387474536895752,48600,0.0,0.0
1980-05-02 00:00:00-04:00,JPM,JPMorgan Chase,1.1387477582098122,1.1579187202127137,1.1310794523900691,1.1502503156661987,49950,0.0,0.0
1980-05-05 00:00:00-04:00,JPM,JPMorgan Chase,1.1655864585006488,1.2115963697433472,1.1655864585006488,1.2115963697433472,621675,0.0,0.0
1980-05-06 00:00:00-04:00,JPM,JPMorgan Chase,1.2115977964534028,1.2346028285275579,1.1924269199371338,1.1924269199371338,143775,0.0,0.0
1980-05-07 00:00:00-04:00,JPM,JPMorgan Chase,1.1924255158016341,1.2269330726420624,1.1924255158016341,1.2115963697433472,483975,0.0,0.0
1980-05-08 00:00:00-04:00,JPM,JPMorgan Chase,1.2115968502818404,1.223099209246128,1.200094293864027,1.207762598991394,36450,0.0,0.0
1980-05-09 00:00:00-04:00,JPM,JPMorgan Chase,1.2000937461853027,1.2000937461853027,1.1847570442029136,1.2000937461853027,24975,0.0,0.0
1980-05-12 00:00:00-04:00,JPM,JPMorgan Chase,1.2000943871963163,1.2000943871963163,1.169421065574597,1.1962603330612183,27000,0.0,0.0
1980-05-13 00:00:00-04:00,JPM,JPMorgan Chase,1.1962611742218596,1.2077635421686772,1.1847585100945222,1.1924269199371338,40500,0.0,0.0
1980-05-14 00:00:00-04:00,JPM,JPMorgan Chase,1.1962603330612183,1.2115969445086925,1.1962603330612183,1.1962603330612183,61425,0.0,0.0
1980-05-15 00:00:00-04:00,JPM,JPMorgan Chase,1.1962611742218596,1.2039294853376312,1.1847585100945222,1.1924269199371338,37125,0.0,0.0
1980-05-16 00:00:00-04:00,JPM,JPMorgan Chase,1.192426349233698,1.192426349233698,1.1809238880651973,1.1885921955108643,11475,0.0,0.0
1980-05-19 00:00:00-04:00,JPM,JPMorgan Chase,1.1885922551809764,1.2269339917877422,1.1885922551809764,1.2154313325881958,51300,0.0,0.0
1980-05-20 00:00:00-04:00,JPM,JPMorgan Chase,1.2154318532844488,1.2154318532844488,1.1924269199371338,1.1924269199371338,85725,0.0,0.0
1980-05-21 00:00:00-04:00,JPM,JPMorgan Chase,1.192425754221284,1.196260004757645,1.17708904825607,1.1847573518753052,40500,0.0,0.0
1980-05-22 00:00:00-04:00,JPM,JPMorgan Chase,1.1847576770220714,1.2039286387849555,1.173255317163236,1.1962603330612183,143775,0.0,0.0
1980-05-23 00:00:00-04:00,JPM,JPMorgan Chase,1.20009381788763,1.219264671829343,1.20009381788763,1.2115963697433472,113400,0.0,0.0
1980-05-27 00:00:00-04:00,JPM,JPMorgan Chase,1.2115962973537742,1.2115962973537742,1.2000937461853027,1.2000937461853027,57375,0.0,0.0
1980-05-28 00:00:00-04:00,JPM,JPMorgan Chase,1.2039287291599838,1.219265341758728,1.2039287291599838,1.219265341758728,135000,0.0,0.0
1980-05-29 00:00:00-04:00,JPM,JPMorgan Chase,1.2192654421003388,1.2230994968387772,1.1847578634597462,1.203928828239441,108675,0.0,0.0
1980-05-30 00:00:00-04:00,JPM,JPMorgan Chase,1.2000937461853027,1.2000937461853027,1.177088742575078,1.2000937461853027,80325,0.0,0.0
1980-06-02 00:00:00-04:00,JPM,JPMorgan Chase,1.2000952310529054,1.2154318532844488,1.1847585100945222,1.1924269199371338,107325,0.0,0.0
1980-06-03 00:00:00-04:00,JPM,JPMorgan Chase,1.1924254445574671,1.2039279957259386,1.1885912937435492,1.2000937461853027,101250,0.0,0.0
1980-06-04 00:00:00-04:00,JPM,JPMorgan Chase,1.2000941723491922,1.2307674884796143,1.1962601189004864,1.2307674884796143,143100,0.0,0.0
1980-06-05 00:00:00-04:00,JPM,JPMorgan Chase,1.2307671741507304,1.242269726466192,1.2269331216812134,1.2269331216812134,95850,0.0,0.0
1980-06-06 00:00:00-04:00,JPM,JPMorgan Chase,1.2269337017709065,1.2882802486419678,1.22309935130834,1.2882802486419678,205875,0.0,0.0
1980-06-09 00:00:00-04:00,JPM,JPMorgan Chase,1.2537722787816534,1.2537722787816534,1.2192647205619964,1.2269331216812134,150525,0.0,0.0
1980-06-10 00:00:00-04:00,JPM,JPMorgan Chase,1.2269329121463577,1.2499378153950622,1.2154302630685838,1.2461037635803223,110700,0.0,0.0
1980-06-11 00:00:00-04:00,JPM,JPMorgan Chase,1.2461045895193326,1.2959486783224008,1.2346020315441812,1.2691096067428589,140400,0.0,0.0
1980-06-12 00:00:00-04:00,JPM,JPMorgan Chase,1.2652755975723267,1.2652755975723267,1.2346022683010622,1.2652755975723267,178200,0.0,0.0
1980-06-13 00:00:00-04:00,JPM,JPMorgan Chase,1.265276076084073,1.318954348564148,1.265276076084073,1.318954348564148,196425,0.0,0.0
1980-06-16 00:00:00-04:00,JPM,JPMorgan Chase,1.3036173044590973,1.3036173044590973,1.2652756654935007,1.2729439735412598,298350,0.0,0.0
1980-06-17 00:00:00-04:00,JPM,JPMorgan Chase,1.2729439735412598,1.2729439735412598,1.2576072587189409,1.2729439735412598,344250,0.0,0.0
1980-06-18 00:00:00-04:00,JPM,JPMorgan Chase,1.2729428173704775,1.2729428173704775,1.2384352650439991,1.2461037635803223,129600,0.0,0.0
1980-06-19 00:00:00-04:00,JPM,JPMorgan Chase,1.2384362094264614,1.2384362094264614,1.1924262691169811,1.203928828239441,83025,0.0,0.0
1980-06-20 00:00:00-04:00,JPM,JPMorgan Chase,1.2039286387849555,1.2115969445086925,1.1885919286107105,1.1962603330612183,207225,0.0,0.0
1980-06-23 00:00:00-04:00,JPM,JPMorgan Chase,1.1962611742218596,1.2154318532844488,1.1770901989787503,1.1924269199371338,557550,0.0,0.0
1980-06-24 00:00:00-04:00,JPM,JPMorgan Chase,1.1962598133845286,1.2269331216812134,1.1962598133845286,1.2269331216812134,174150,0.0,0.0
1980-06-25 00:00:00-04:00,JPM,JPMorgan Chase,1.2269334350309085,1.2346017393818258,1.2154307810510268,1.2307674884796143,294300,0.0,0.0
1980-06-26 00:00:00-04:00,JPM,JPMorgan Chase,1.2307671741507304,1.2346014240737027,1.2230987730315135,1.2269331216812134,791775,0.0,0.0
1980-06-27 00:00:00-04:00,JPM,JPMorgan Chase,1.2269334350309085,1.2346017393818258,1.2230990854019441,1.2307674884796143,104625,0.0,0.0
1980-06-30 00:00:00-04:00,JPM,JPMorgan Chase,1.2307671741507304,1.2346014240737027,1.2039281157770179,1.2269331216812134,85050,0.0,0.0
1980-07-01 00:00:00-04:00,JPM,JPMorgan Chase,1.2269331216812134,1.2307671741507304,1.2154304706390242,1.2269331216812134,89100,0.0,0.0
1980-07-02 00:00:00-04:00,JPM,JPMorgan Chase,1.2269334350309085,1.2307674884796143,1.2192650319532383,1.2307674884796143,89100,0.0,0.0
1980-07-03 00:00:00-04:00,JPM,JPMorgan Chase,1.230767722854936,1.2346019744873047,1.2269336686761105,1.2346019744873047,550125,0.0,0.0
1980-07-07 00:00:00-04:00,JPM,JPMorgan Chase,1.2346019744873047,1.242270280298499,1.2269336686761105,1.2346019744873047,144450,0.0,0.0
1980-07-08 00:00:00-04:00,JPM,JPMorgan Chase,1.2346019744873047,1.242270280298499,1.22309931831697,1.2346019744873047,148500,0.0,0.0
1980-07-09 00:00:00-04:00,JPM,JPMorgan Chase,1.2346017393818258,1.253772598985872,1.2307674884796143,1.2307674884796143,89100,0.0,0.0
